	NAME	TEAM	POS	G	AB	R	H	2B	3B	HR	RBI	SO	SB	OBP	SLG	AVG	OPS
1	Lin, C	TPE	IF	1	1	0	1	0	0	0	0	0	0	1.000	1.000	1.000	2.000
1	Vaglio, A	ITA	IF	1	1	0	1	0	0	0	0	0	0	1.000	1.000	1.000	2.000
3	Quiroz, E	MEX	2B	3	6	5	4	1	0	2	5	0	0	.800	1.833	.667	2.633
3	Rickles, N	ISR	C	2	3	1	2	1	0	0	1	1	0	.667	1.000	.667	1.667
5	Balentien, W	NED	RF	7	26	10	16	1	0	4	12	4	0	.677	1.115	.615	1.793
6	Aviles, M	PUR	SS	3	10	3	6	0	1	0	3	2	0	.636	.800	.600	1.436
6	Juarez, L	MEX	LF	2	5	0	3	0	0	0	0	1	0	.600	.600	.600	1.200
8	Polanco, G	DOM	OF	5	19	3	11	2	0	1	2	0	1	.619	.842	.579	1.461
9	Lin, K	TPE	C	2	7	3	4	0	0	0	0	0	1	.625	.571	.571	1.196
10	de San Miguel, A	AUS	C	3	9	1	5	2	0	1	1	3	0	.636	1.111	.556	1.747
11	Amador, J	MEX	1B	3	10	4	5	1	0	1	2	3	0	.545	.900	.500	1.445
11	Bregman, A	USA	3B	2	4	0	2	0	0	0	0	1	0	.600	.500	.500	1.100
11	Kim, J	KOR	SS	2	6	0	3	1	0	0	0	1	0	.625	.667	.500	1.292
11	Solarte, Y	VEN	3B	5	6	2	3	0	0	0	0	0	0	.500	.500	.500	1.000
15	Beltran, C	PUR	OF	6	21	4	10	1	0	0	5	6	0	.542	.524	.476	1.065
16	Despaigne, A	CUB	3B	6	19	6	9	0	0	3	6	3	1	.583	.947	.474	1.531
17	Davis, I	ISR	1B	6	17	5	8	2	1	0	3	4	0	.571	.706	.471	1.277
18	Profar, J	NED	OF	7	28	6	13	5	0	1	4	4	1	.516	.750	.464	1.266
19	Sakamoto, H	JPN	2B	5	20	6	9	3	0	0	1	1	1	.522	.600	.450	1.122
20	Crawford, B	USA	SS	6	18	2	8	3	1	0	4	0	0	.500	.722	.444	1.222
20	Kobayashi, S	JPN	C	6	18	4	8	0	0	1	6	3	0	.450	.611	.444	1.061
20	Lavarnway, R	ISR	C	6	18	2	8	2	0	1	6	1	0	.565	.722	.444	1.287
20	Navarro, E	MEX	OF	3	9	3	4	1	0	0	1	2	0	.545	.556	.444	1.101
24	Gracial, Y	CUB	3B	6	23	4	10	4	0	1	4	3	3	.435	.739	.435	1.174
24	Lindor, F	PUR	SS	6	23	7	10	1	0	2	4	0	0	.481	.739	.435	1.221
26	Akiyama, S	JPN	OF	3	7	1	3	0	0	0	2	0	1	.500	.429	.429	.929
26	Mesa, V	CUB	OF	6	7	0	3	2	0	0	3	2	0	.429	.714	.429	1.143
28	Son, A	KOR	RF	3	12	1	5	1	0	0	2	3	1	.429	.500	.417	.929
29	Chang, C	TPE	OF	3	15	4	6	1	0	1	5	3	0	.400	.667	.400	1.067
29	Correa, C	PUR	SS	7	20	10	8	1	0	3	9	2	2	.563	.900	.400	1.463
29	Elizalde, S	MEX	OF	3	5	1	2	0	0	0	3	0	0	.400	.400	.400	.800
29	Kandilas, D	AUS	OF	3	10	2	4	1	0	0	0	0	1	.538	.500	.400	1.038
29	Matsuda, N	JPN	IF	6	20	8	8	1	0	1	7	5	1	.381	.600	.400	.981
29	Min, B	KOR	OF	3	10	1	4	1	0	0	1	1	0	.462	.500	.400	.962
29	Roberson, C	MEX	OF	3	5	2	2	0	0	0	3	2	0	.500	.400	.400	.900
29	Solano, J	COL	C	3	10	1	4	1	0	0	1	2	0	.500	.500	.400	1.000
37	Hosmer, E	USA	1B	6	21	5	8	2	0	1	5	0	1	.435	.619	.381	1.054
