RK	NAME	TEAM	W	L	ERA	G	GS	SV	IP	H	R	ER	HR	BB	SO	WHIP
1	Abad, F	DOM	1	0	0.00	4	0	0	2.1	2	0	0	0	1	1	1.29
1	Aguilar, M	MEX	0	0	0.00	1	0	0	0.1	1	1	0	0	0	0	3.00
1	Akiyoshi, R	JPN	1	0	0.00	5	0	0	3.2	2	0	0	0	0	3	0.55
1	Archer, C	USA	0	0	0.00	1	1	0	4.0	0	0	0	0	0	3	0.00
1	Bailey, T	AUS	0	0	0.00	1	0	0	1.0	1	0	0	0	1	0	2.00
1	Betances, D	DOM	0	0	0.00	5	0	0	5.0	3	0	0	0	3	5	1.20
1	Blackley, T	AUS	1	0	0.00	1	1	0	4.2	2	0	0	0	0	2	0.43
1	Bolsenbroek, M	NED	0	0	0.00	2	0	0	3.1	2	0	0	0	0	2	0.60
1	Bracho, S	VEN	0	0	0.00	1	0	0	0.2	1	0	0	0	0	1	1.50
1	Chen, B	CHN	0	0	0.00	1	1	0	2.2	3	0	0	0	1	2	1.50
1	Chen, K	CHN	0	0	0.00	1	0	0	0.2	0	0	0	0	0	1	0.00
1	Claudio, A	PUR	0	0	0.00	3	0	0	3.0	2	0	0	0	1	1	1.00
1	Colon, J	PUR	0	0	0.00	4	0	0	5.0	2	0	0	0	1	4	0.60
1	Cramer, G	ISR	0	0	0.00	1	0	0	1.0	1	0	0	0	0	0	1.00
1	Crepaldi, F	ITA	0	0	0.00	2	0	0	1.2	1	0	0	0	0	2	0.60
1	de Blok, T	NED	0	0	0.00	2	0	0	2.0	1	0	0	0	0	2	0.50
1	De Leon, J	PUR	1	0	0.00	1	1	0	2.2	3	0	0	0	1	5	1.50
1	Diaz, D	COL	0	0	0.00	2	0	1	2.0	2	0	0	0	0	4	1.00
1	Dyson, S	USA	0	0	0.00	3	0	0	4.0	0	0	0	0	0	2	0.00
1	Familia, J	DOM	0	0	0.00	4	0	2	3.1	2	0	0	0	0	7	0.60
1	Fanti, N	ITA	0	0	0.00	1	0	0	1.0	2	0	0	0	0	1	2.00
1	Florian, F	ITA	0	0	0.00	2	0	0	2.0	1	0	0	0	0	2	0.50
1	Frieri, E	COL	0	0	0.00	1	0	0	2.0	2	0	0	0	1	1	1.50
1	Fujinami, S	JPN	0	0	0.00	1	0	0	2.0	0	0	0	0	1	4	0.50
1	Gagne, E	CAN	0	0	0.00	1	0	0	2.1	1	0	0	0	1	2	0.86
1	Goldberg, B	ISR	0	0	0.00	2	0	0	2.0	2	0	0	0	2	2	2.00
1	Gong, H	CHN	0	0	0.00	1	0	0	0.1	1	0	0	0	0	0	3.00
1	Gregerson, L	USA	0	0	0.00	3	0	2	3.0	0	0	0	0	1	2	0.33
1	Guerrero, T	COL	0	0	0.00	1	0	0	1.0	1	0	0	0	1	2	2.00
1	Huang, S	TPE	0	0	0.00	1	0	0	1.1	1	0	0	0	0	3	0.75
1	Jansen, K	NED	0	0	0.00	1	0	0	1.0	0	0	0	0	0	2	0.00
1	Jimenez, J	PUR	0	0	0.00	3	0	0	2.0	3	0	0	0	1	2	2.00
1	Jones, N	USA	0	0	0.00	3	0	0	2.2	0	0	0	0	2	1	0.75
1	Katz, A	ISR	0	0	0.00	4	0	0	3.1	2	0	0	0	2	2	1.20
1	Kent, S	AUS	0	0	0.00	1	0	0	1.0	1	0	0	0	1	1	2.00
1	Lahera, M	CUB	0	1	0.00	3	0	1	4.2	3	3	0	1	1	5	0.86
1	Lakind, J	ISR	0	0	0.00	2	0	0	1.2	3	0	0	0	1	2	2.40
1	Layne, T	ITA	0	0	0.00	3	0	0	3.1	4	0	0	0	3	4	2.10
1	Lee, H	KOR	0	0	0.00	2	0	0	0.1	2	0	0	0	1	0	9.00
1	Leroux, C	CAN	0	0	0.00	1	0	0	1.0	0	0	0	0	0	1	0.00
1	Lim, C	KOR	0	0	0.00	1	0	0	0.2	1	0	0	0	2	0	4.50
1	Lin, C	TPE	0	0	0.00	2	0	0	2.1	3	0	0	0	0	0	1.29
1	Marimon, S	COL	0	0	0.00	1	0	0	0.1	1	1	0	0	0	0	3.00
1	Mathieson, S	CAN	0	0	0.00	2	0	0	2.0	3	2	0	0	1	2	2.00
1	Matsui, Y	JPN	0	0	0.00	3	0	0	2.2	0	0	0	0	1	5	0.37
1	McGee, J	USA	0	0	0.00	2	0	0	1.0	1	0	0	0	1	2	2.00
1	Mejia, M	PUR	0	0	0.00	1	0	0	1.0	1	0	0	0	0	2	1.00
1	Meng, W	CHN	0	0	0.00	1	0	0	4.0	2	2	0	0	2	2	1.00
1	Miyanishi, N	JPN	0	0	0.00	3	0	0	2.0	2	0	0	0	1	4	1.50
1	Moylan, P	AUS	0	0	0.00	1	0	0	2.0	2	0	0	0	0	3	1.00
1	Nappo, G	COL	0	0	0.00	2	0	0	0.2	1	0	0	0	0	0	1.50
1	Neshek, P	USA	1	0	0.00	3	0	0	3.2	3	0	0	0	0	3	0.82
1	Oh, S	KOR	1	0	0.00	2	0	0	3.1	1	0	0	0	1	6	0.60
1	Okada, T	JPN	0	0	0.00	2	0	0	1.0	0	0	0	0	1	1	1.00
1	Pagan, E	PUR	0	0	0.00	1	0	0	1.0	0	0	0	0	0	0	0.00
